,esent,eopenrate,eclickrate,avgorder,paperless,refill,doorstep,create_first,first_last,favday_Monday,favday_Saturday,favday_Sunday,favday_Thursday,favday_Tuesday,favday_Wednesday,city_BOM,city_DEL,city_MAA
11817,0.9897091548153909,-0.49115674815643057,0.5287003822563602,1.0744380453931115,1,0,0,0.9519075873111779,-0.76642029518711,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
30419,-0.6665977458036425,0.7425726839681572,1.1709335574381314,-0.625411170301082,1,0,0,-0.992139884782625,-0.76642029518711,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
19590,0.16261605033096144,-1.3969823453650023,-0.9554645362108118,-0.076524439448865,1,0,0,-0.992139884782625,-0.76642029518711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
27767,-1.2546670766281962,0.18453151910573104,-0.9554645362108118,-0.625411170301082,1,0,0,-0.992139884782625,-0.76642029518711,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
632,0.7192338401913919,0.4143194289652342,1.2707008429333309,-0.03391337745472163,0,0,0,0.7798012373746591,-0.76642029518711,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
14704,0.609696422680319,-0.7289506003484727,0.6394323940740927,-0.625411170301082,1,0,0,-0.992139884782625,-0.76642029518711,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
17263,-0.1254182559764667,0.4143194289652342,-0.9554645362108118,-0.625411170301082,1,0,0,-0.992139884782625,-0.76642029518711,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
26393,1.2558459792355645,-0.3361532771890957,-0.9554645362108118,0.7812435907018409,1,0,0,1.0708551123593117,1.3938779054223338,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
17235,-0.06719797262417185,1.5731442485720804,0.3852673594957101,-0.17782836625932452,1,0,0,0.7499420912015307,1.1022673533105678,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
16162,0.5546167886385531,-0.16740563216267715,0.6568122553750507,-0.625411170301082,1,0,0,-0.992139884782625,-0.76642029518711,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
18250,0.16261605033096144,-0.27859069939630987,-0.9554645362108118,-0.625411170301082,1,0,0,-0.992139884782625,-0.76642029518711,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2056,-1.796840544394617,-1.3969823453650023,-0.9554645362108118,-2.040161111697166,0,0,0,-0.992139884782625,-0.76642029518711,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
24972,-1.796840544394617,-1.3969823453650023,-0.9554645362108118,-0.47872424948609377,1,0,0,0.5436999657574196,1.5062660757932544,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5050,1.9307304737220394,0.48940353127863195,1.3934717071773925,0.4637336069361365,0,0,0,1.5467102944318316,1.4926628966529467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15371,0.5546167886385531,0.3753183008449276,-0.9554645362108118,-0.2968764812616016,1,0,0,-0.992139884782625,-0.76642029518711,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
22057,-0.3021427178501765,1.638353323244884,0.9850398159655986,-0.625411170301082,1,0,0,-0.992139884782625,-0.76642029518711,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
21726,0.04829774456868317,-0.24002747880094177,0.8358217481872975,-0.625411170301082,1,0,0,-0.992139884782625,-0.76642029518711,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
19150,0.10559834752501197,0.8934279053016799,1.2254371939375326,0.2543729200952053,1,1,0,0.3294037955772868,-0.76642029518711,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2028,0.7192338401913919,1.3397833434920448,1.4174092106683316,0.8791656957065012,1,1,0,1.144944166869709,1.6097356954720892,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
16264,0.5546167886385531,0.7045626540899039,0.6568122553750507,-0.3847519173501668,1,0,0,0.8979911248941955,-0.76642029518711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6574,0.9897091548153909,-0.11330638767637967,-0.9554645362108118,0.6239668751109156,0,0,0,1.0485066006598893,1.5241382679729332,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
7568,-1.1179329578827595,0.022910853434981136,1.46777558565189,1.4048659099800975,0,0,0,-0.992139884782625,0.8081062567220719,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
16011,0.5546167886385531,0.7710965837629419,1.0879264474708787,-0.5356878009772564,1,1,0,0.877642237154709,1.2861885925814722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
16238,-0.48233317554213717,0.7505960118873184,1.07235267280457,0.1039300055577446,1,0,0,-0.992139884782625,1.00231181179992,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
12567,0.7737033076126745,0.0817711464509133,1.0274482019836775,-0.11346225553873346,1,0,0,1.1011926371294363,-0.76642029518711,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
29483,-0.1254182559764667,0.7607659653949996,1.6281899499640637,1.0737125834344703,1,0,0,-0.992139884782625,0.646543603440523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18957,-0.1839719963831647,1.1173563573836274,0.3852673594957101,1.5630870908110455,1,0,0,-0.10150138138680301,0.8081062567220719,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
19309,0.21936131215973487,-0.6416415053058389,-0.9554645362108118,-0.625411170301082,1,0,0,-0.992139884782625,-0.76642029518711,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
22602,-0.3021427178501765,0.15396498353091245,0.9850398159655986,-0.625411170301082,1,1,1,0.2244137521351121,-0.76642029518711,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
17046,0.27584389124736125,1.1173563573836274,1.1709335574381314,0.2522163489961845,1,1,0,-0.992139884782625,-0.76642029518711,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
15525,-0.06719797262417185,1.613459215954577,1.2841454844270423,-0.01873304726252314,1,0,0,0.4840543988461073,-0.76642029518711,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
20270,-0.06719797262417185,0.7307202026720592,0.8823401488465551,0.327083058651536,1,0,0,-0.992139884782625,-0.76642029518711,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
15980,0.827980570483276,-0.07192939670036817,-0.9554645362108118,-0.40589075779264905,1,0,0,0.8979911248941955,-0.76642029518711,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
22752,-0.3021427178501765,1.2578705150408414,0.9850398159655986,-0.625411170301082,1,0,0,-0.992139884782625,-0.76642029518711,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
4349,0.7192338401913919,-0.43191973232989445,0.6059232797598176,-0.6131482868336323,1,1,0,1.5861604211501277,-0.76642029518711,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
20483,0.16261605033096144,1.1173563573836274,1.2068335236573406,-0.5221480674895764,1,0,0,-0.992139884782625,0.849462603209633,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
12299,-0.9852275372221143,0.6396092585126665,0.3852673594957101,0.5100225276719463,1,0,0,1.2945670090298327,-0.76642029518711,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
22110,-0.4218508663890485,0.575103368312008,1.4174092106683316,0.5043127221213234,1,1,0,-0.992139884782625,-0.76642029518711,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
23802,-1.1857349351709405,1.1173563573836274,1.5219368547576368,-0.625411170301082,1,0,0,-0.10150138138680301,-0.76642029518711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8687,0.4993215325778863,-1.3969823453650023,-0.9554645362108118,-0.6264793795432468,1,0,0,1.0914662771093862,0.2518603028586407,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
4767,2.235131122715823,0.6853692397316427,1.34780440955042,-0.1219242978288865,0,0,0,1.4685320294711222,1.667919417426302,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
7488,-0.06719797262417185,-0.5610019098847127,-0.9554645362108118,-0.10408005588611949,0,0,0,0.96789157300759,-0.76642029518711,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
20766,-0.6665977458036425,0.575103368312008,-0.9554645362108118,-0.2291838050897144,1,0,0,0.8979911248941955,-0.76642029518711,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
29572,0.16261605033096144,0.6228516160652706,0.7920531722532121,-0.625411170301082,1,0,0,0.413892938595797,-0.76642029518711,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
24193,-1.1857349351709405,1.3059213414776445,0.3852673594957101,-0.6158107708791613,1,0,0,-0.992139884782625,-0.76642029518711,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
22814,0.27584389124736125,0.09758332147578905,-0.9554645362108118,-0.07326710394159984,1,0,0,-0.10150138138680301,1.0254330757970884,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8208,0.6645667735600463,1.0048366138165596,0.6224752290146824,1.452286858046215,0,0,0,-0.992139884782625,-0.76642029518711,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
19653,-0.009296994998009666,0.6019408678949735,0.8587176576955183,0.4310935778176336,1,0,0,0.7499420912015307,0.646543603440523,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2389,0.21936131215973487,1.6324397357948608,0.7711102448958098,-1.1300763201624593,1,0,0,0.5953357033524466,1.709177114822533,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5193,1.0432664412169024,-0.2907315789613038,0.9580269347454249,0.3049674465967734,0,0,0,-0.992139884782625,1.5804266667818294,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
15549,-1.796840544394617,-1.3969823453650023,-0.9554645362108118,-0.6264793795432468,1,0,0,-0.992139884782625,-0.76642029518711,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
11346,0.33207291165843633,-1.3969823453650023,-0.9554645362108118,-0.022408139843704124,1,0,0,-0.3973166662393107,1.2081296242570456,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
20407,-0.7921075461847275,1.3302213467304937,1.2445066858874307,-0.6264793795432468,1,0,1,-0.992139884782625,-0.76642029518711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
17901,0.04829774456868317,0.0002395727694120792,-0.9554645362108118,-0.625411170301082,0,0,0,-0.992139884782625,-0.76642029518711,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
7237,-0.6665977458036425,-1.3969823453650023,-0.9554645362108118,0.30112865436570524,0,0,0,0.9170648138920706,-0.76642029518711,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
6839,0.9897091548153909,-0.7964688113625358,-0.9554645362108118,1.2892850001078497,0,0,0,0.8558587143502715,-0.76642029518711,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
13667,-1.6246274860372512,-1.3969823453650023,-0.9554645362108118,-0.625411170301082,1,0,0,-0.992139884782625,-0.76642029518711,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
23221,-0.6665977458036425,1.666551094867715,0.3852673594957101,-0.6158107708791613,1,0,0,0.08803199366128278,-0.76642029518711,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
20279,-0.009296994998009666,1.6912202291489395,0.3852673594957101,2.0150929670101654,1,0,0,0.2244137521351121,1.1545651999738362,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5906,0.10559834752501197,-0.6116301516351721,-0.9554645362108118,0.27802648926888857,0,0,0,-0.3973166662393107,-0.76642029518711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
